"journal","year","pubmed"
"JAMA",2005,"16380593"
"JAMA",2005,"16352792"
"JAMA",2005,"16234500"
"JAMA",2005,"16219884"
"JAMA",2005,"16204666"
"JAMA",2005,"16106007"
"JAMA",2005,"16091573"
"JAMA",2005,"16077055"
"JAMA",2005,"15972567"
"JAMA",2005,"15956636"
"JAMA",2005,"15928286"
"JAMA",2005,"15914752"
"JAMA",2005,"15914751"
"JAMA",2005,"15886381"
"JAMA",2005,"15855435"
"JAMA",2005,"15840865"
"JAMA",2005,"15827315"
"JAMA",2005,"15811984"
"JAMA",2005,"15728168"
"JAMA",2006,"17164458"
"JAMA",2006,"16968832"
"JAMA",2006,"16968831"
"JAMA",2006,"16896111"
"JAMA",2006,"16868301"
"JAMA",2006,"16705109"
"JAMA",2006,"16670414"
"JAMA",2006,"16670413"
"JAMA",2006,"16639052"
"JAMA",2006,"16622143"
"JAMA",2006,"16537739"
"JAMA",2006,"16418466"
"JAMA",2006,"16391219"
"JAMA",2007,"18073361"
"JAMA",2007,"17878422"
"JAMA",2007,"17848653"
"JAMA",2007,"17848652"
"JAMA",2007,"17622601"
"JAMA",2007,"17440145"
"JAMA",2007,"17374818"
"JAMA",2007,"17327526"
"JAMA",2008,"19109117"
"JAMA",2008,"19088354"
"JAMA",2008,"19088353"
"JAMA",2008,"19050195"
"JAMA",2008,"19033591"
"JAMA",2008,"19017914"
"JAMA",2008,"18940978"
"JAMA",2008,"18840841"
"JAMA",2008,"18827212"
"JAMA",2008,"18812535"
"JAMA",2008,"18780847"
"JAMA",2008,"18728267"
"JAMA",2008,"18612117"
"JAMA",2008,"18594042"
"JAMA",2008,"18443023"
"JAMA",2008,"18430913"
"JAMA",2008,"18314434"
"JAMA",2009,"19934425"
"JAMA",2009,"19724046"
"JAMA",2009,"19654389"
"JAMA",2009,"19654388"
"JAMA",2009,"19622820"
"JAMA",2009,"19584347"
"JAMA",2009,"19584346"
"JAMA",2009,"19531786"
"JAMA",2009,"19509383"
"JAMA",2009,"19509382"
"JAMA",2009,"19454641"
"JAMA",2009,"19436018"
"JAMA",2009,"19224752"
"JAMA",2009,"19211471"
"JAMA",2009,"19176443"
"JAMA",2009,"19141768"
"JAMA",2010,"21081729"
"JAMA",2010,"20978260"
"JAMA",2010,"20810377"
"JAMA",2010,"20664045"
"JAMA",2010,"20483973"
"JAMA",2010,"20460622"
"JAMA",2010,"20442389"
"JAMA",2010,"20388897"
"JAMA",2010,"20332404"
"JAMA",2010,"20233826"
"JAMA",2010,"20197533"
"JAMA",2010,"20159873"
"JAMA",2010,"20124539"
"JAMA",2010,"20051569"
"JAMA",2011,"22203539"
"JAMA",2011,"22166608"
"JAMA",2011,"22147380"
"JAMA",2011,"22068993"
"JAMA",2011,"21934057"
"JAMA",2011,"21900138"
"JAMA",2011,"21862748"
"JAMA",2011,"21828326"
"JAMA",2011,"21693744"
"JAMA",2011,"21673296"
"JAMA",2011,"21642686"
