"journal","year","pubmed"
"N Engl J Med",2005,"16207858"
"N Engl J Med",2005,"16120859"
"N Engl J Med",2007,"17517853"
"N Engl J Med",2007,"17296825"
"N Engl J Med",2007,"17296824"
"N Engl J Med",2007,"17296823"
"N Engl J Med",2007,"17296821"
"N Engl J Med",2008,"18199864"
"N Engl J Med",2009,"19369658"
"N Engl J Med",2010,"20463347"
"N Engl J Med",2010,"20410525"
"N Engl J Med",2011,"22087679"
"N Engl J Med",2011,"21696306"
"N Engl J Med",2012,"23150934"
"N Engl J Med",2012,"22762317"
"N Engl J Med",2013,"24004120"
"N Engl J Med",2013,"23388002"
"N Engl J Med",2014,"25271618"
"N Engl J Med",2015,"26544982"
"N Engl J Med",2017,"29117498"
"N Engl J Med",2017,"28320242"
"N Engl J Med",2020,"32558485"
