"journal","year","pubmed"
"Environ Health Perspect",2002,"11882483"
"Environ Health Perspect",2002,"11781171"
"Environ Health Perspect",2003,"12948885"
"Environ Health Perspect",2003,"12727594"
"Environ Health Perspect",2003,"12676626"
"Environ Health Perspect",2004,"15198916"
"Environ Health Perspect",2004,"14754575"
"Environ Health Perspect",2005,"15866759"
"Environ Health Perspect",2007,"18087584"
"Environ Health Perspect",2007,"17938728"
"Environ Health Perspect",2007,"17938726"
"Environ Health Perspect",2007,"17366816"
"Environ Health Perspect",2008,"19337517"
"Environ Health Perspect",2008,"18709151"
"Environ Health Perspect",2008,"18629304"
"Environ Health Perspect",2008,"18414626"
"Environ Health Perspect",2008,"18288311"
"Environ Health Perspect",2009,"20064785"
"Environ Health Perspect",2009,"20064777"
"Environ Health Perspect",2009,"20064771"
"Environ Health Perspect",2009,"20049132"
"Environ Health Perspect",2009,"20019898"
"Environ Health Perspect",2009,"20019896"
"Environ Health Perspect",2010,"21131253"
"Environ Health Perspect",2010,"20716508"
"Environ Health Perspect",2010,"20423813"
"Environ Health Perspect",2010,"20075021"
"Environ Health Perspect",2010,"20056585"
"Environ Health Perspect",2010,"20056568"
"Environ Health Perspect",2011,"22138666"
"Environ Health Perspect",2011,"21997443"
"Environ Health Perspect",2011,"21810554"
"Environ Health Perspect",2011,"21810552"
"Environ Health Perspect",2011,"21708512"
"Environ Health Perspect",2011,"21642044"
"Environ Health Perspect",2012,"23131992"
"Environ Health Perspect",2012,"22820538"
"Environ Health Perspect",2012,"22814173"
"Environ Health Perspect",2012,"22728254"
"Environ Health Perspect",2012,"22389202"
"Environ Health Perspect",2013,"24273233"
"Environ Health Perspect",2013,"24076757"
"Environ Health Perspect",2014,"24968389"
"Environ Health Perspect",2014,"24968388"
"Environ Health Perspect",2014,"24968374"
"Environ Health Perspect",2014,"24911630"
"Environ Health Perspect",2014,"24835507"
"Environ Health Perspect",2014,"24659585"
"Environ Health Perspect",2014,"24659576"
"Environ Health Perspect",2015,"26340796"
"Environ Health Perspect",2015,"26219103"
"Environ Health Perspect",2015,"26091556"
"Environ Health Perspect",2015,"26008903"
"Environ Health Perspect",2015,"25978526"
"Environ Health Perspect",2015,"25956006"
"Environ Health Perspect",2015,"25933359"
"Environ Health Perspect",2015,"25870974"
"Environ Health Perspect",2015,"25742056"
"Environ Health Perspect",2015,"25712593"
"Environ Health Perspect",2015,"25712504"
"Environ Health Perspect",2015,"25626053"
"Environ Health Perspect",2015,"25625876"
"Environ Health Perspect",2015,"25625785"
"Environ Health Perspect",2016,"27152464"
"Environ Health Perspect",2016,"27448387"
"Environ Health Perspect",2017,"28982642"
"Environ Health Perspect",2017,"28934091"
"Environ Health Perspect",2017,"28886596"
"Environ Health Perspect",2017,"28799918"
"Environ Health Perspect",2018,"30073953"
"Environ Health Perspect",2018,"30024382"
"Environ Health Perspect",2019,"31850801"
"Environ Health Perspect",2019,"31148503"
"Environ Health Perspect",2019,"31017485"
"Environ Health Perspect",2020,"33355482"
"Environ Health Perspect",2020,"33284047"
"Environ Health Perspect",2020,"32783535"
"Environ Health Perspect",2020,"32378965"
"Environ Health Perspect",2020,"31903801"
"Environ Health Perspect",2021,"34128690"
"Environ Health Perspect",2021,"34038220"
"Environ Health Perspect",2021,"33844598"
"Environ Health Perspect",2022,"35536285"
"Environ Health Perspect",2022,"35475652"
"Environ Health Perspect",2022,"35234536"
