"journal","year","pubmed"
"Epidemiology",2002,"11964936"
"Epidemiology",2002,"11805589"
"Epidemiology",2003,"12859040"
"Epidemiology",2004,"15308958"
"Epidemiology",2004,"15308952"
"Epidemiology",2005,"16222170"
"Epidemiology",2005,"16222160"
"Epidemiology",2005,"15951663"
"Epidemiology",2005,"15951662"
"Epidemiology",2005,"15951661"
"Epidemiology",2005,"15703536"
"Epidemiology",2006,"17028503"
"Epidemiology",2008,"18414090"
"Epidemiology",2008,"18379430"
"Epidemiology",2008,"18277167"
"Epidemiology",2010,"20585256"
"Epidemiology",2010,"20375841"
"Epidemiology",2010,"20010212"
"Epidemiology",2010,"19940773"
"Epidemiology",2011,"21709561"
"Epidemiology",2011,"21705906"
"Epidemiology",2011,"21330928"
"Epidemiology",2012,"22561117"
"Epidemiology",2012,"22531668"
"Epidemiology",2012,"22441545"
"Epidemiology",2013,"23903884"
"Epidemiology",2013,"23903882"
"Epidemiology",2013,"23883870"
"Epidemiology",2013,"23232621"
"Epidemiology",2013,"23222513"
"Epidemiology",2014,"25188557"
"Epidemiology",2014,"25061921"
"Epidemiology",2014,"25036432"
"Epidemiology",2014,"24776790"
"Epidemiology",2014,"24713883"
"Epidemiology",2014,"24713878"
"Epidemiology",2014,"24220191"
"Epidemiology",2015,"26360372"
"Epidemiology",2015,"26332052"
"Epidemiology",2015,"26133025"
"Epidemiology",2015,"26098935"
"Epidemiology",2015,"25978795"
"Epidemiology",2017,"28570388"
"Epidemiology",2017,"28410350"
"Epidemiology",2018,"30063543"
"Epidemiology",2018,"29889687"
"Epidemiology",2018,"29746370"
"Epidemiology",2018,"29394189"
"Epidemiology",2018,"28863045"
"Epidemiology",2019,"30789425"
"Epidemiology",2021,"34432720"
"Epidemiology",2021,"34183527"
"Epidemiology",2021,"33935136"
"Epidemiology",2021,"33591054"
"Epidemiology",2021,"33181564"
"Epidemiology",2021,"33181563"
