"journal","year","pubmed"
"PLoS Med",2005,"15971944"
"PLoS Med",2005,"15783260"
"PLoS Med",2006,"17194198"
"PLoS Med",2006,"17194181"
"PLoS Med",2006,"16933957"
"PLoS Med",2006,"16719548"
"PLoS Med",2006,"16509765"
"PLoS Med",2006,"16379500"
"PLoS Med",2007,"18052602"
"PLoS Med",2007,"17676945"
"PLoS Med",2007,"17564490"
"PLoS Med",2007,"17455988"
"PLoS Med",2007,"17388664"
"PLoS Med",2007,"17311468"
"PLoS Med",2007,"17227135"
"PLoS Med",2008,"19053169"
"PLoS Med",2008,"18942886"
"PLoS Med",2008,"18700812"
"PLoS Med",2008,"18630984"
"PLoS Med",2008,"18318597"
"PLoS Med",2008,"18303940"
"PLoS Med",2009,"20101802"
"PLoS Med",2009,"19956761"
"PLoS Med",2009,"19901973"
"PLoS Med",2009,"19753109"
"PLoS Med",2009,"19668362"
"PLoS Med",2010,"21151890"
"PLoS Med",2010,"20668659"
"PLoS Med",2010,"20563311"
"PLoS Med",2010,"20532236"
"PLoS Med",2010,"20520805"
"PLoS Med",2010,"20520800"
"PLoS Med",2010,"20422030"
"PLoS Med",2010,"20351774"
"PLoS Med",2010,"20098724"
"PLoS Med",2011,"22069379"
"PLoS Med",2011,"21857806"
"PLoS Med",2011,"21738449"
"PLoS Med",2011,"21655315"
"PLoS Med",2011,"21559325"
"PLoS Med",2011,"21358808"
"PLoS Med",2011,"21267059"
"PLoS Med",2012,"23226108"
"PLoS Med",2012,"23226107"
"PLoS Med",2012,"23209385"
"PLoS Med",2012,"23091423"
"PLoS Med",2012,"23028261"
"PLoS Med",2012,"22984353"
"PLoS Med",2012,"22952439"
"PLoS Med",2012,"22927798"
"PLoS Med",2012,"22912563"
"PLoS Med",2012,"22904691"
"PLoS Med",2012,"22859911"
"PLoS Med",2012,"22807658"
"PLoS Med",2012,"22745607"
"PLoS Med",2012,"22606070"
"PLoS Med",2012,"22509138"
"PLoS Med",2012,"22363213"
"PLoS Med",2012,"22291577"
"PLoS Med",2013,"24204215"
"PLoS Med",2013,"24068896"
"PLoS Med",2013,"23976885"
"PLoS Med",2013,"23966838"
"PLoS Med",2013,"23935459"
"PLoS Med",2013,"23824703"
"PLoS Med",2013,"23776415"
"PLoS Med",2013,"23723742"
"PLoS Med",2013,"23723741"
"PLoS Med",2013,"23671407"
"PLoS Med",2013,"23637579"
"PLoS Med",2013,"23554581"
"PLoS Med",2013,"23554579"
"PLoS Med",2013,"23458994"
"PLoS Med",2013,"23424288"
"PLoS Med",2013,"23393431"
"PLoS Med",2013,"23393428"
"PLoS Med",2013,"23349622"
"PLoS Med",2013,"23349621"
"PLoS Med",2014,"25423175"
"PLoS Med",2014,"25405755"
"PLoS Med",2014,"25314011"
"PLoS Med",2014,"25202974"
"PLoS Med",2014,"25117081"
"PLoS Med",2014,"25093720"
"PLoS Med",2014,"25050550"
"PLoS Med",2014,"25003901"
"PLoS Med",2014,"24824338"
"PLoS Med",2014,"24800926"
"PLoS Med",2014,"24691105"
"PLoS Med",2014,"24667810"
"PLoS Med",2014,"24642791"
"PLoS Med",2014,"24618794"
"PLoS Med",2014,"24594975"
"PLoS Med",2014,"24586123"
"PLoS Med",2014,"24586120"
"PLoS Med",2014,"24492409"
"PLoS Med",2014,"24465187"
"PLoS Med",2014,"24409101"
"PLoS Med",2015,"26694529"
"PLoS Med",2015,"26035557"
"PLoS Med",2015,"25849352"
"PLoS Med",2015,"25612136"
"PLoS Med",2016,"27898682"
"PLoS Med",2016,"27898679"
"PLoS Med",2016,"27780217"
"PLoS Med",2016,"27755538"
"PLoS Med",2016,"27598345"
"PLoS Med",2016,"27598322"
"PLoS Med",2016,"27459705"
"PLoS Med",2016,"27434027"
"PLoS Med",2016,"27071029"
"PLoS Med",2016,"26954482"
"PLoS Med",2017,"29206833"
"PLoS Med",2017,"28976987"
"PLoS Med",2017,"28926573"
"PLoS Med",2017,"28898252"
"PLoS Med",2017,"28809936"
"PLoS Med",2017,"28792500"
"PLoS Med",2017,"28666001"
"PLoS Med",2017,"28486474"
"PLoS Med",2017,"28463996"
"PLoS Med",2017,"28323832"
"PLoS Med",2017,"28072872"
"PLoS Med",2018,"30586362"
"PLoS Med",2018,"30562347"
"PLoS Med",2018,"30532209"
"PLoS Med",2018,"30481189"
"PLoS Med",2018,"30325928"
"PLoS Med",2018,"30303968"
"PLoS Med",2018,"30040816"
"PLoS Med",2018,"29995958"
"PLoS Med",2018,"29969463"
"PLoS Med",2018,"29894518"
"PLoS Med",2018,"29799874"
"PLoS Med",2018,"29718904"
"PLoS Med",2018,"29558462"
"PLoS Med",2018,"29489823"
"PLoS Med",2018,"29485986"
"PLoS Med",2018,"29462168"
"PLoS Med",2018,"29360829"
"PLoS Med",2018,"29315334"
"PLoS Med",2019,"31834890"
"PLoS Med",2019,"31821329"
"PLoS Med",2019,"31815931"
"PLoS Med",2019,"31809499"
"PLoS Med",2019,"31730642"
"PLoS Med",2019,"31665140"
"PLoS Med",2019,"31597983"
"PLoS Med",2019,"31584960"
"PLoS Med",2019,"31553733"
"PLoS Med",2019,"31550249"
"PLoS Med",2019,"31509529"
"PLoS Med",2019,"31479454"
"PLoS Med",2019,"31386659"
"PLoS Med",2019,"31386658"
"PLoS Med",2019,"31335910"
"PLoS Med",2019,"31265456"
"PLoS Med",2019,"31185012"
"PLoS Med",2019,"31095568"
"PLoS Med",2019,"31034476"
"PLoS Med",2019,"31013279"
"PLoS Med",2019,"30978205"
"PLoS Med",2019,"30742624"
"PLoS Med",2019,"30703100"
"PLoS Med",2020,"33378357"
"PLoS Med",2020,"33373368"
"PLoS Med",2020,"33290410"
"PLoS Med",2020,"33264277"
"PLoS Med",2020,"33226997"
"PLoS Med",2020,"33211712"
"PLoS Med",2020,"33180775"
"PLoS Med",2020,"33119589"
"PLoS Med",2020,"33075101"
"PLoS Med",2020,"33064751"
"PLoS Med",2020,"33048935"
"PLoS Med",2020,"32986711"
"PLoS Med",2020,"32960881"
"PLoS Med",2020,"32956381"
"PLoS Med",2020,"32941437"
"PLoS Med",2020,"32931504"
"PLoS Med",2020,"32925912"
"PLoS Med",2020,"32813696"
"PLoS Med",2020,"32810184"
"PLoS Med",2020,"32722673"
"PLoS Med",2020,"32673317"
"PLoS Med",2020,"32544153"
"PLoS Med",2020,"32453739"
"PLoS Med",2020,"32442232"
"PLoS Med",2020,"32433660"
"PLoS Med",2020,"32413027"
"PLoS Med",2020,"32407380"
"PLoS Med",2020,"32357197"
"PLoS Med",2020,"32353039"
"PLoS Med",2020,"32315297"
"PLoS Med",2020,"32231381"
"PLoS Med",2020,"32231359"
"PLoS Med",2020,"32142510"
"PLoS Med",2020,"32134952"
"PLoS Med",2020,"31905226"
"PLoS Med",2021,"34807920"
"PLoS Med",2021,"34752479"
"PLoS Med",2021,"34752477"
"PLoS Med",2021,"34624018"
"PLoS Med",2021,"34610024"
"PLoS Med",2021,"34582466"
"PLoS Med",2021,"34582447"
"PLoS Med",2021,"34582444"
"PLoS Med",2021,"34547017"
"PLoS Med",2021,"34534215"
"PLoS Med",2021,"34520463"
"PLoS Med",2021,"34520459"
"PLoS Med",2021,"34495978"
