"journal","year","pubmed"
"Ann Intern Med",2012,23362517
"Ann Intern Med",2012,23362516
"Ann Intern Med",2012,23247939
"Ann Intern Med",2012,23070489
"Ann Intern Med",2012,23007881
"Ann Intern Med",2012,22910937
"Ann Intern Med",2012,22910936
"Ann Intern Med",2012,22893011
"Ann Intern Med",2012,22868835
"Ann Intern Med",2012,22777524
"Ann Intern Med",2012,22751758
"Ann Intern Med",2012,22547473
"Ann Intern Med",2012,22431677
"Ann Intern Med",2012,22412038
"Ann Intern Med",2012,22371850
"Ann Intern Med",2012,22371849
"Ann Intern Med",2012,22351714
"Ann Intern Med",2013,24297192
"Ann Intern Med",2013,24126648
"Ann Intern Med",2013,24081287
"Ann Intern Med",2013,24042368
"Ann Intern Med",2013,24026259
"Ann Intern Med",2013,23922064
"Ann Intern Med",2013,23778906
"Ann Intern Med",2013,23778905
"Ann Intern Med",2013,23712381
"Ann Intern Med",2013,23648949
"Ann Intern Med",2013,23460057
"Ann Intern Med",2013,23460056
"Ann Intern Med",2013,23420234
"Ann Intern Med",2013,23277899
"Ann Intern Med",2014,25402514
"Ann Intern Med",2014,25364886
"Ann Intern Med",2014,25364885
"Ann Intern Med",2014,25111745
"Ann Intern Med",2014,25111499
"Ann Intern Med",2014,25089863
"Ann Intern Med",2014,25047428
"Ann Intern Med",2014,25023250
"Ann Intern Med",2014,25004169
"Ann Intern Med",2014,24887617
"Ann Intern Med",2014,24862840
"Ann Intern Med",2014,24842416
"Ann Intern Med",2014,24733196
"Ann Intern Med",2014,24723079
"Ann Intern Med",2014,24658694
"Ann Intern Med",2014,24592496
"Ann Intern Med",2014,24592495
"Ann Intern Med",2015,26642233
"Ann Intern Med",2015,26595058
"Ann Intern Med",2015,26571241
"Ann Intern Med",2015,26551857
"Ann Intern Med",2015,26501851
"Ann Intern Med",2015,26414227
"Ann Intern Med",2015,26414020
"Ann Intern Med",2015,26390230
"Ann Intern Med",2015,26302454
"Ann Intern Med",2015,26258555
"Ann Intern Med",2015,26215539
"Ann Intern Med",2015,26148280
"Ann Intern Med",2015,26075755
"Ann Intern Med",2015,26054060
"Ann Intern Med",2015,26005909
"Ann Intern Med",2015,25984845
"Ann Intern Med",2015,25915661
"Ann Intern Med",2015,25894025
"Ann Intern Med",2015,25599350
"Ann Intern Med",2015,25560713
"Ann Intern Med",2015,25531552
"Ann Intern Med",2016,27842420
"Ann Intern Med",2016,27776363
"Ann Intern Med",2016,27428849
"Ann Intern Med",2016,27367316
"Ann Intern Med",2016,27322622
"Ann Intern Med",2016,27272666
"Ann Intern Med",2016,27182696
"Ann Intern Med",2016,27088241
"Ann Intern Med",2016,27042809
"Ann Intern Med",2016,26881842
"Ann Intern Med",2016,26830221
"Ann Intern Med",2016,26830055
"Ann Intern Med",2016,26756588
"Ann Intern Med",2017,29277852
"Ann Intern Med",2017,29049539
"Ann Intern Med",2017,28869986
"Ann Intern Med",2017,28828493
"Ann Intern Med",2017,28828492
"Ann Intern Med",2017,28785760
"Ann Intern Med",2017,28761946
"Ann Intern Med",2017,28632280
"Ann Intern Med",2017,28437793
"Ann Intern Med",2017,28418520
"Ann Intern Med",2017,28395318
"Ann Intern Med",2017,28114673
"Ann Intern Med",2018,30583296
"Ann Intern Med",2018,30534999
"Ann Intern Med",2018,30304368
"Ann Intern Med",2018,30242379
"Ann Intern Med",2018,29987326
"Ann Intern Med",2018,29971337
"Ann Intern Med",2018,29404582
"Ann Intern Med",2018,29379948
"Ann Intern Med",2018,29310136
"Ann Intern Med",2018,29310133
"Ann Intern Med",2019,31739316
"Ann Intern Med",2019,31610547
"Ann Intern Med",2019,31590181
"Ann Intern Med",2019,31569217
"Ann Intern Med",2019,31569214
"Ann Intern Med",2019,31569213
"Ann Intern Med",2019,31499529
"Ann Intern Med",2019,31382273
"Ann Intern Med",2019,31307056
"Ann Intern Med",2019,31284304
"Ann Intern Med",2019,31234202
"Ann Intern Med",2019,31181575
"Ann Intern Med",2019,30884526
"Ann Intern Med",2019,30802902
"Ann Intern Med",2019,30597484
"Ann Intern Med",2020,32956601
"Ann Intern Med",2020,32909814
"Ann Intern Med",2020,32805130
"Ann Intern Med",2020,32805127
"Ann Intern Med",2020,32658569
"Ann Intern Med",2020,32598218
"Ann Intern Med",2020,32479176
"Ann Intern Med",2020,32340037
"Ann Intern Med",2020,32176890
"Ann Intern Med",2020,32092762
"Ann Intern Med",2020,31905375
