journal,year,pubmed
Br J Sports Med,2012,22919022
Br J Sports Med,2012,22844035
Br J Sports Med,2012,22773322
Br J Sports Med,2012,22773321
Br J Sports Med,2012,22763119
Br J Sports Med,2012,22763118
Br J Sports Med,2012,22711797
Br J Sports Med,2012,22267567
Sports Med,2012,23134339
Sports Med,2012,22765281
Sports Med,2012,22642829
Sports Med,2012,22149696
Sports Med,2012,22124445
Am J Sports Med,2012,23048042
Am J Sports Med,2012,22972856
Am J Sports Med,2012,22972854
Am J Sports Med,2012,22802271
Am J Sports Med,2012,22679297
Am J Sports Med,2012,22539537
J Sci Med Sport,2012,22951266
J Sci Med Sport,2012,22609052
J Sci Med Sport,2012,22541990
J Sci Med Sport,2012,22513304
Scand J Med Sci Sports,2012,22316148
Eur J Phys Rehabil Med,2012,23183454
Arch Phys Med Rehabil,2012,23201318
Arch Phys Med Rehabil,2012,23187042
Arch Phys Med Rehabil,2012,23168400
Arch Phys Med Rehabil,2012,23149311
Arch Phys Med Rehabil,2012,23149310
Arch Phys Med Rehabil,2012,23127307
Arch Phys Med Rehabil,2012,22960276
Arch Phys Med Rehabil,2012,22878230
Arch Phys Med Rehabil,2012,22728699
Arch Phys Med Rehabil,2012,22421624
Arch Phys Med Rehabil,2012,22421623
Arch Phys Med Rehabil,2012,22365478
Arch Phys Med Rehabil,2012,22289232
Arch Phys Med Rehabil,2012,22289231
J Rehabil Med,2012,22990349
J Rehabil Med,2012,22854872
Br J Sports Med,2013,24311602
Br J Sports Med,2013,24282204
Br J Sports Med,2013,24297836
Br J Sports Med,2013,24144533
Br J Sports Med,2013,24144531
Br J Sports Med,2013,24100287
Br J Sports Med,2013,24037671
Br J Sports Med,2013,23945034
Br J Sports Med,2013,23922282
Br J Sports Med,2013,23881891
Br J Sports Med,2013,23843482
Br J Sports Med,2013,23757486
Br J Sports Med,2013,23709520
Br J Sports Med,2013,23467962
Sports Med,2013,23996137
Sports Med,2013,23912806
Sports Med,2013,23846823
Sports Med,2013,23839770
Sports Med,2013,23812856
Sports Med,2013,23754172
Sports Med,2013,23729196
Sports Med,2013,23329611
Sports Med,2013,23329606
Am J Sports Med,2013,24305648
Am J Sports Med,2013,24214929
Am J Sports Med,2013,24130247
Am J Sports Med,2013,23631884
Am J Sports Med,2013,23585484
Am J Sports Med,2013,23364897
Med Sci Sports Exerc,2013,23669878
Med Sci Sports Exerc,2013,23502972
Med Sci Sports Exerc,2013,23274612
J Sci Med Sport,2013,23806877
J Sci Med Sport,2013,23602562
J Sci Med Sport,2013,23528254
Scand J Med Sci Sports,2013,24151875
Scand J Med Sci Sports,2013,23889316
Scand J Med Sci Sports,2013,23362828
Scand J Med Sci Sports,2013,23347054
Eur J Phys Rehabil Med,2013,23575201
Arch Phys Med Rehabil,2013,24333741
Arch Phys Med Rehabil,2013,24309072
Arch Phys Med Rehabil,2013,24291597
Arch Phys Med Rehabil,2013,24291594
Arch Phys Med Rehabil,2013,24036161
Arch Phys Med Rehabil,2013,23669008
Arch Phys Med Rehabil,2013,23632286
Arch Phys Med Rehabil,2013,23632285
Arch Phys Med Rehabil,2013,23562414
Arch Phys Med Rehabil,2013,23499780
Arch Phys Med Rehabil,2013,23473702
Arch Phys Med Rehabil,2013,23439410
Arch Phys Med Rehabil,2013,23416220
Arch Phys Med Rehabil,2013,23399455
Arch Phys Med Rehabil,2013,23337428
Arch Phys Med Rehabil,2013,23313355
Br J Sports Med,2014,25515771
Br J Sports Med,2014,25497489
Br J Sports Med,2014,25492646
Br J Sports Med,2014,25452612
Br J Sports Med,2014,25416198
Br J Sports Med,2014,25406335
Br J Sports Med,2014,25403682
Br J Sports Med,2014,25361786
Br J Sports Med,2014,25281542
Br J Sports Med,2014,25227125
Br J Sports Med,2014,25185588
Br J Sports Med,2014,25183627
Br J Sports Med,2014,25170074
Br J Sports Med,2014,25157180
Br J Sports Med,2014,25136082
Br J Sports Med,2014,24747298
Br J Sports Med,2014,24687010
Br J Sports Med,2014,24550210
Br J Sports Med,2014,24434186
Sports Med,2014,25138312
Sports Med,2014,25138311
Sports Med,2014,25129698
Sports Med,2014,25100644
Sports Med,2014,25059334
Sports Med,2014,25053012
Sports Med,2014,25047852
